length:10 word:0100110101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 4}, 3: {0: 5, 1: 2}, 4: {0: 3, 1: 3}, 5: {0: 4, 1: 5}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 4}, 3: {0: 5, 1: 2}, 4: {0: 3, 1: 5}, 5: {0: 4, 1: 3}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 4}, 3: {0: 5, 1: 2}, 4: {0: 3, 1: 5}, 5: {0: 4, 1: 3}}
length:10 word:0010001000 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 2, 1: 5}, 4: {0: 5, 1: 4}, 5: {0: 4, 1: 3}}
length:10 word:0010001001 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 2, 1: 5}, 4: {0: 5, 1: 4}, 5: {0: 4, 1: 3}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 3, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 3, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 4, 1: 2}, 4: {0: 5, 1: 3}, 5: {0: 3, 1: 4}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 4, 1: 2}, 4: {0: 5, 1: 3}, 5: {0: 3, 1: 4}}
length:10 word:0100110100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 4, 1: 2}, 4: {0: 5, 1: 4}, 5: {0: 3, 1: 3}}
length:10 word:0100110101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 4, 1: 2}, 4: {0: 5, 1: 4}, 5: {0: 3, 1: 3}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 2}, 4: {0: 4, 1: 3}, 5: {0: 3, 1: 4}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 2}, 4: {0: 4, 1: 3}, 5: {0: 3, 1: 4}}
length:10 word:0010001000 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 3}, 4: {0: 2, 1: 5}, 5: {0: 3, 1: 4}}
length:10 word:0010001001 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 3}, 4: {0: 2, 1: 5}, 5: {0: 3, 1: 4}}
length:10 word:0100110100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 3}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 4}}
length:10 word:0100110101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 3}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 4}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 4}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 1, 1: 5}, 3: {0: 5, 1: 4}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 4, 1: 2}, 4: {0: 3, 1: 5}, 5: {0: 3, 1: 1}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 4, 1: 2}, 4: {0: 3, 1: 5}, 5: {0: 3, 1: 1}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 4, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 3, 1: 1}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 4, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 3, 1: 1}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 4, 1: 5}, 4: {0: 3, 1: 2}, 5: {0: 1, 1: 4}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 4, 1: 5}, 4: {0: 3, 1: 2}, 5: {0: 1, 1: 4}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 5, 1: 2}, 4: {0: 3, 1: 1}, 5: {0: 3, 1: 4}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 5, 1: 2}, 4: {0: 3, 1: 1}, 5: {0: 3, 1: 4}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 5, 1: 4}, 4: {0: 1, 1: 5}, 5: {0: 3, 1: 2}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 5, 1: 4}, 4: {0: 1, 1: 5}, 5: {0: 3, 1: 2}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 5, 1: 5}, 4: {0: 3, 1: 1}, 5: {0: 4, 1: 2}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 3}, 3: {0: 5, 1: 5}, 4: {0: 3, 1: 1}, 5: {0: 4, 1: 2}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 1, 1: 5}, 4: {0: 5, 1: 3}, 5: {0: 4, 1: 2}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 1, 1: 5}, 4: {0: 5, 1: 3}, 5: {0: 4, 1: 2}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 1}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 1}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 1}, 4: {0: 5, 1: 5}, 5: {0: 3, 1: 2}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 1}, 4: {0: 5, 1: 5}, 5: {0: 3, 1: 2}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 2}, 4: {0: 3, 1: 5}, 5: {0: 1, 1: 3}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 2}, 4: {0: 3, 1: 5}, 5: {0: 1, 1: 3}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 5}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 1}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 4, 1: 5}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 1}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 5, 1: 2}, 4: {0: 3, 1: 3}, 5: {0: 4, 1: 1}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 4}, 3: {0: 5, 1: 2}, 4: {0: 3, 1: 3}, 5: {0: 4, 1: 1}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 1, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 1, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 3}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 4, 1: 2}, 4: {0: 5, 1: 1}, 5: {0: 3, 1: 3}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 4, 1: 2}, 4: {0: 5, 1: 1}, 5: {0: 3, 1: 3}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 1}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 4}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 1}, 4: {0: 3, 1: 2}, 5: {0: 4, 1: 4}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 1}, 4: {0: 5, 1: 3}, 5: {0: 4, 1: 2}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 1}, 4: {0: 5, 1: 3}, 5: {0: 4, 1: 2}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 2}, 4: {0: 1, 1: 3}, 5: {0: 3, 1: 4}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 2}, 4: {0: 1, 1: 3}, 5: {0: 3, 1: 4}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 4}, 4: {0: 5, 1: 1}, 5: {0: 3, 1: 2}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 2, 1: 5}, 3: {0: 5, 1: 4}, 4: {0: 5, 1: 1}, 5: {0: 3, 1: 2}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 4}, 4: {0: 2, 1: 5}, 5: {0: 5, 1: 3}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 4}, 4: {0: 2, 1: 5}, 5: {0: 5, 1: 3}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 5}, 4: {0: 3, 1: 2}, 5: {0: 5, 1: 3}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 5}, 4: {0: 3, 1: 2}, 5: {0: 5, 1: 3}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 5}, 4: {0: 5, 1: 3}, 5: {0: 2, 1: 4}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 5}, 4: {0: 5, 1: 3}, 5: {0: 2, 1: 4}}
length:10 word:1001010010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 5}, 4: {0: 5, 1: 4}, 5: {0: 2, 1: 3}}
length:10 word:1001010011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 4, 1: 5}, 4: {0: 5, 1: 4}, 5: {0: 2, 1: 3}}
length:10 word:1001010010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 4}, 4: {0: 2, 1: 3}, 5: {0: 4, 1: 5}}
length:10 word:1001010011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 4}, 4: {0: 2, 1: 3}, 5: {0: 4, 1: 5}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 4}, 4: {0: 2, 1: 5}, 5: {0: 4, 1: 3}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 4}, 4: {0: 2, 1: 5}, 5: {0: 4, 1: 3}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 4}, 4: {0: 4, 1: 3}, 5: {0: 3, 1: 2}}
length:10 word:1101110111 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 4}, 4: {0: 4, 1: 3}, 5: {0: 3, 1: 2}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 5}, 4: {0: 4, 1: 3}, 5: {0: 2, 1: 4}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 1}, 3: {0: 5, 1: 5}, 4: {0: 4, 1: 3}, 5: {0: 2, 1: 4}}
length:10 word:0010001000 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 2, 1: 4}, 4: {0: 5, 1: 3}, 5: {0: 1, 1: 3}}
length:10 word:0010001001 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 2, 1: 4}, 4: {0: 5, 1: 3}, 5: {0: 1, 1: 3}}
length:10 word:0010001000 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 2, 1: 5}, 4: {0: 1, 1: 3}, 5: {0: 4, 1: 3}}
length:10 word:0010001001 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 2, 1: 5}, 4: {0: 1, 1: 3}, 5: {0: 4, 1: 3}}
length:10 word:0100110100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 4, 1: 4}, 4: {0: 2, 1: 5}, 5: {0: 1, 1: 3}}
length:10 word:0100110101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 4, 1: 4}, 4: {0: 2, 1: 5}, 5: {0: 1, 1: 3}}
length:10 word:1001010010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 4, 1: 5}, 4: {0: 5, 1: 1}, 5: {0: 2, 1: 3}}
length:10 word:1001010011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 4, 1: 5}, 4: {0: 5, 1: 1}, 5: {0: 2, 1: 3}}
length:10 word:1001010010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 5, 1: 4}, 4: {0: 2, 1: 3}, 5: {0: 4, 1: 1}}
length:10 word:1001010011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 5, 1: 4}, 4: {0: 2, 1: 3}, 5: {0: 4, 1: 1}}
length:10 word:0100110100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 5, 1: 5}, 4: {0: 1, 1: 3}, 5: {0: 2, 1: 4}}
length:10 word:0100110101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 2}, 3: {0: 5, 1: 5}, 4: {0: 1, 1: 3}, 5: {0: 2, 1: 4}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 4, 1: 5}, 4: {0: 2, 1: 1}, 5: {0: 5, 1: 2}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 4, 1: 5}, 4: {0: 2, 1: 1}, 5: {0: 5, 1: 2}}
length:10 word:0100110100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 4, 1: 5}, 4: {0: 2, 1: 4}, 5: {0: 1, 1: 2}}
length:10 word:0100110101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 4, 1: 5}, 4: {0: 2, 1: 4}, 5: {0: 1, 1: 2}}
length:10 word:0100110100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 5, 1: 4}, 4: {0: 1, 1: 2}, 5: {0: 2, 1: 5}}
length:10 word:0100110101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 5, 1: 4}, 4: {0: 1, 1: 2}, 5: {0: 2, 1: 5}}
length:10 word:1001001010 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 5, 1: 4}, 4: {0: 4, 1: 2}, 5: {0: 2, 1: 1}}
length:10 word:1001001011 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 3}, 3: {0: 5, 1: 4}, 4: {0: 4, 1: 2}, 5: {0: 2, 1: 1}}
length:10 word:0010001000 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 4}, 3: {0: 1, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 5}}
length:10 word:0010001001 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 4}, 3: {0: 1, 1: 4}, 4: {0: 5, 1: 2}, 5: {0: 4, 1: 5}}
length:10 word:0010001000 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 4}, 3: {0: 2, 1: 3}, 4: {0: 5, 1: 2}, 5: {0: 1, 1: 2}}
length:10 word:0010001001 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 4}, 3: {0: 2, 1: 3}, 4: {0: 5, 1: 2}, 5: {0: 1, 1: 2}}
length:10 word:0100100100 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 4}, 3: {0: 2, 1: 5}, 4: {0: 1, 1: 3}, 5: {0: 5, 1: 2}}
length:10 word:0100100101 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 4}, 3: {0: 2, 1: 5}, 4: {0: 1, 1: 3}, 5: {0: 5, 1: 2}}
length:10 word:1101110110 config:{0: {0: 0, 1: 0}, 1: {0: 0, 1: 0}, 2: {0: 3, 1: 4}, 3: {0: 2, 1: 5}, 4: {0: 3, 1: 1}, 5: {0: 5, 1: 3}}
